epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,82.5562,1.73714,3.2428,1.27419,0.70707,0.3817,0.37217,0.19586,1.73738,2.14953,1.24016,6e-05,6e-05,6e-05
2,160.349,1.73763,3.20616,1.26715,0.63259,0.37539,0.36173,0.19477,1.73723,2.15055,1.23409,0.000137228,0.000137228,0.000137228
3,239.769,1.51582,2.38799,1.15643,0.74413,0.50789,0.53088,0.39216,0.9754,1.60742,0.90969,0.000211288,0.000211288,0.000211288
4,312.852,1.00562,0.99599,0.92502,0.92877,0.5347,0.64677,0.47885,0.82571,1.11098,0.86366,0.00028218,0.00028218,0.00028218
5,385.755,0.85962,0.72969,0.88336,0.76972,0.69594,0.7462,0.53913,0.81863,0.8733,0.84218,0.000349904,0.000349904,0.000349904
6,457.301,0.74303,0.59577,0.85525,0.7461,0.76972,0.77892,0.57236,0.7091,0.82859,0.8288,0.00041446,0.00041446,0.00041446
7,528.644,0.67431,0.51876,0.84168,0.75084,0.77603,0.80034,0.59934,0.68841,0.69844,0.81827,0.000475848,0.000475848,0.000475848
8,601.237,0.63475,0.46333,0.82856,0.78413,0.79067,0.82294,0.61936,0.66646,0.66545,0.81833,0.000534068,0.000534068,0.000534068
9,666.559,0.62595,0.44673,0.82248,0.80306,0.7918,0.84127,0.637,0.63245,0.61685,0.81754,0.00058912,0.00058912,0.00058912
10,737.245,0.58113,0.40948,0.82509,0.79172,0.79143,0.85371,0.65336,0.5985,0.54796,0.81058,0.000641004,0.000641004,0.000641004
11,812.338,0.57156,0.39551,0.81872,0.78319,0.83281,0.86678,0.65261,0.61407,0.55126,0.81237,0.00068972,0.00068972,0.00068972
12,883.427,0.55799,0.37627,0.81324,0.79599,0.82467,0.8587,0.65589,0.61074,0.51349,0.81145,0.000735268,0.000735268,0.000735268
13,951.553,0.55545,0.37094,0.81187,0.79917,0.83281,0.86496,0.66599,0.5893,0.50678,0.81044,0.000777648,0.000777648,0.000777648
14,1021.31,0.53249,0.35816,0.80942,0.81248,0.83912,0.86904,0.67646,0.58226,0.49206,0.81182,0.00081686,0.00081686,0.00081686
15,1091.13,0.52453,0.34854,0.80656,0.81935,0.82986,0.86729,0.67399,0.57682,0.4617,0.80799,0.000852904,0.000852904,0.000852904
16,1158.51,0.53414,0.34506,0.80923,0.83288,0.83281,0.88386,0.69324,0.53718,0.44475,0.80596,0.00088578,0.00088578,0.00088578
17,1234.57,0.49634,0.33047,0.80562,0.84071,0.83245,0.88371,0.68292,0.54313,0.45295,0.80689,0.000915488,0.000915488,0.000915488
18,1298.84,0.49968,0.32819,0.80378,0.8206,0.85131,0.88034,0.70126,0.54077,0.42345,0.80203,0.000942028,0.000942028,0.000942028
19,1369.26,0.49342,0.32466,0.80326,0.82456,0.86435,0.87971,0.70261,0.54332,0.43749,0.80589,0.0009654,0.0009654,0.0009654
20,1443.46,0.47989,0.31816,0.79942,0.82874,0.87015,0.89608,0.70691,0.52665,0.42138,0.80246,0.000985604,0.000985604,0.000985604
21,1518.5,0.4764,0.31838,0.8007,0.83312,0.87382,0.90039,0.70824,0.53773,0.41706,0.80382,0.00100264,0.00100264,0.00100264
22,1589.58,0.4944,0.32156,0.80314,0.82828,0.85489,0.88848,0.70577,0.53363,0.42463,0.80194,0.00101651,0.00101651,0.00101651
23,1660.52,0.4894,0.31501,0.79757,0.83508,0.84543,0.89159,0.71455,0.56174,0.40925,0.80326,0.00102721,0.00102721,0.00102721
24,1732.49,0.50053,0.31236,0.80318,0.83285,0.83596,0.89394,0.72173,0.50991,0.38303,0.80393,0.00103474,0.00103474,0.00103474
25,1802.59,0.4572,0.29886,0.8031,0.83658,0.83975,0.89501,0.72488,0.49997,0.39549,0.80126,0.0010391,0.0010391,0.0010391
26,1873.32,0.45665,0.30138,0.79897,0.80468,0.85489,0.8882,0.71707,0.50929,0.39493,0.80207,0.00101,0.00101,0.00101
27,1935.23,0.45428,0.29494,0.80159,0.81692,0.86751,0.90413,0.72333,0.52754,0.40272,0.80485,0.0009704,0.0009704,0.0009704
28,2002.31,0.45204,0.29302,0.79663,0.83374,0.84227,0.89605,0.72772,0.50514,0.39319,0.80149,0.0009308,0.0009308,0.0009308
29,2073.12,0.44888,0.29255,0.79576,0.82311,0.85136,0.89925,0.72743,0.51921,0.38668,0.80451,0.0008912,0.0008912,0.0008912
30,2143.48,0.45832,0.29302,0.79766,0.83814,0.83307,0.89473,0.73368,0.51155,0.37536,0.80281,0.0008516,0.0008516,0.0008516
31,2210.98,0.44514,0.2867,0.79647,0.84476,0.84113,0.90348,0.74069,0.50451,0.37895,0.80264,0.000812,0.000812,0.000812
32,2278.87,0.43124,0.2798,0.79409,0.83806,0.84227,0.90985,0.75373,0.50033,0.38792,0.80014,0.0007724,0.0007724,0.0007724
33,2348.28,0.42159,0.27079,0.79104,0.82674,0.84858,0.91104,0.75896,0.47929,0.37225,0.80029,0.0007328,0.0007328,0.0007328
