epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,11.1852,1.73714,3.2428,1.27419,0.70707,0.3817,0.37217,0.19586,1.73738,2.14953,1.24016,6e-05,6e-05,6e-05
2,18.7668,1.73763,3.20616,1.26715,0.63259,0.37539,0.36173,0.19477,1.73723,2.15055,1.23409,0.000137228,0.000137228,0.000137228
3,22.2304,1.61547,2.60529,1.20815,0.65709,0.50158,0.46543,0.28863,1.3368,1.83055,1.05806,0.000211288,0.000211288,0.000211288
4,25.2288,1.25636,1.24749,1.0363,0.79829,0.5205,0.54703,0.39386,1.01214,1.38106,0.94111,0.00028218,0.00028218,0.00028218
5,27.8695,1.0651,0.95097,0.94483,0.72749,0.59937,0.62429,0.43571,0.90623,1.28066,0.8859,0.000349904,0.000349904,0.000349904
6,30.5291,0.90941,0.74452,0.89512,0.74159,0.66562,0.6955,0.50214,0.85275,0.93296,0.86165,0.00041446,0.00041446,0.00041446
7,33.4036,0.83128,0.63292,0.87012,0.77182,0.6877,0.70982,0.52469,0.75562,0.83625,0.84237,0.000475848,0.000475848,0.000475848
8,36.1254,0.76471,0.54469,0.84966,0.76338,0.71242,0.74114,0.55545,0.75264,0.67897,0.8374,0.000534068,0.000534068,0.000534068
9,38.936,0.74611,0.51069,0.83947,0.77515,0.72864,0.75232,0.57344,0.74065,0.60676,0.83538,0.00058912,0.00058912,0.00058912
10,41.6909,0.69875,0.47967,0.83738,0.79086,0.72767,0.7567,0.58067,0.7082,0.57362,0.83369,0.000641004,0.000641004,0.000641004
11,44.3742,0.67487,0.4535,0.82981,0.79122,0.74121,0.76776,0.59666,0.67393,0.5264,0.82831,0.00068972,0.00068972,0.00068972
12,47.1565,0.65322,0.42771,0.82174,0.80263,0.75079,0.79101,0.60479,0.67111,0.51202,0.82681,0.000735268,0.000735268,0.000735268
13,49.8635,0.64212,0.41448,0.82253,0.81026,0.76025,0.80446,0.61699,0.68413,0.52896,0.82795,0.000777648,0.000777648,0.000777648
14,52.642,0.60872,0.39638,0.81804,0.80015,0.78305,0.80894,0.62203,0.65291,0.49297,0.8239,0.00081686,0.00081686,0.00081686
15,55.4637,0.62157,0.39792,0.81672,0.80835,0.79811,0.82236,0.62089,0.6781,0.4861,0.8258,0.000852904,0.000852904,0.000852904
16,58.2921,0.61278,0.38924,0.81602,0.7995,0.79248,0.81478,0.62239,0.662,0.47414,0.82453,0.00088578,0.00088578,0.00088578
17,61.1152,0.59691,0.3742,0.81475,0.80067,0.78564,0.81996,0.62308,0.6385,0.45174,0.82547,0.000915488,0.000915488,0.000915488
18,63.8109,0.58593,0.36225,0.81207,0.79214,0.78142,0.81919,0.6224,0.66861,0.4796,0.82483,0.000942028,0.000942028,0.000942028
19,66.5053,0.5878,0.36446,0.8116,0.79749,0.81388,0.82367,0.6433,0.64464,0.46377,0.82074,0.0009654,0.0009654,0.0009654
20,69.2564,0.58447,0.3565,0.81078,0.80895,0.82813,0.84494,0.65355,0.65312,0.44632,0.82095,0.000985604,0.000985604,0.000985604
21,72.0365,0.57145,0.35479,0.80896,0.81378,0.83912,0.84389,0.65308,0.63402,0.42696,0.81857,0.00100264,0.00100264,0.00100264
22,74.7974,0.58186,0.35583,0.81292,0.81892,0.84171,0.84766,0.65376,0.61901,0.44172,0.81961,0.00101651,0.00101651,0.00101651
23,77.5296,0.56761,0.34634,0.80636,0.81035,0.82224,0.85542,0.65958,0.62586,0.41501,0.82067,0.00102721,0.00102721,0.00102721
24,80.3304,0.56115,0.33853,0.81049,0.81177,0.84349,0.85949,0.67304,0.62348,0.40096,0.82019,0.00103474,0.00103474,0.00103474
25,83.0649,0.55748,0.33351,0.81077,0.8084,0.83853,0.85477,0.67283,0.61575,0.41091,0.81975,0.0010391,0.0010391,0.0010391
26,85.762,0.55679,0.33675,0.8073,0.81047,0.83596,0.85739,0.67087,0.62193,0.41721,0.81926,0.00101,0.00101,0.00101
27,88.5303,0.5485,0.33117,0.80855,0.81962,0.83912,0.86798,0.68016,0.61327,0.39541,0.81685,0.0009704,0.0009704,0.0009704
28,91.2702,0.53016,0.32009,0.80285,0.82231,0.84227,0.86475,0.6844,0.59188,0.38445,0.81792,0.0009308,0.0009308,0.0009308
29,94.0001,0.52106,0.3188,0.80099,0.8194,0.84227,0.86782,0.69253,0.59265,0.39175,0.8154,0.0008912,0.0008912,0.0008912
30,96.7242,0.53903,0.32103,0.80341,0.81951,0.83596,0.86618,0.69245,0.56741,0.38627,0.81178,0.0008516,0.0008516,0.0008516
31,99.4534,0.53119,0.31972,0.80361,0.82238,0.83252,0.85181,0.68484,0.59956,0.40106,0.81457,0.000812,0.000812,0.000812
32,102.123,0.51932,0.31159,0.80289,0.82306,0.84543,0.86969,0.68775,0.59727,0.39063,0.81401,0.0007724,0.0007724,0.0007724
33,104.825,0.5067,0.30424,0.79824,0.81979,0.84543,0.86651,0.70122,0.57466,0.39186,0.81533,0.0007328,0.0007328,0.0007328
34,107.569,0.51509,0.30931,0.79906,0.82425,0.84227,0.86575,0.70072,0.57501,0.39066,0.81398,0.0006932,0.0006932,0.0006932
35,110.267,0.51207,0.30864,0.80762,0.83108,0.84543,0.87637,0.69916,0.57833,0.39431,0.81381,0.0006536,0.0006536,0.0006536
36,112.94,0.49716,0.29967,0.80269,0.82747,0.84729,0.87985,0.69314,0.60381,0.39469,0.81612,0.000614,0.000614,0.000614
37,115.685,0.50765,0.30182,0.80195,0.82378,0.84058,0.87411,0.6959,0.57615,0.39354,0.81167,0.0005744,0.0005744,0.0005744
38,118.364,0.49741,0.29654,0.79999,0.82059,0.83912,0.87726,0.70282,0.58062,0.38146,0.80993,0.0005348,0.0005348,0.0005348
39,121.062,0.50132,0.29727,0.80038,0.82438,0.82925,0.87429,0.69782,0.57543,0.38153,0.81184,0.0004952,0.0004952,0.0004952
40,123.717,0.49055,0.29575,0.79301,0.8201,0.84846,0.88016,0.71086,0.58964,0.3893,0.81144,0.0004556,0.0004556,0.0004556
41,147.862,0.50023,0.30312,0.78766,0.82318,0.83708,0.87711,0.69684,0.59915,0.39973,0.81486,0.000416,0.000416,0.000416
42,150.662,0.46107,0.28167,0.78438,0.82084,0.83912,0.87395,0.72151,0.57906,0.39486,0.80936,0.0003764,0.0003764,0.0003764
43,153.298,0.46805,0.28052,0.78318,0.82664,0.83596,0.87534,0.7158,0.57362,0.3921,0.81125,0.0003368,0.0003368,0.0003368
44,155.919,0.45673,0.27354,0.78722,0.83263,0.83174,0.87806,0.71159,0.59429,0.39241,0.81192,0.0002972,0.0002972,0.0002972
45,158.579,0.46616,0.27672,0.78732,0.83288,0.83281,0.88356,0.71981,0.57088,0.38633,0.80984,0.0002576,0.0002576,0.0002576
46,161.104,0.44677,0.26763,0.78133,0.82636,0.83281,0.88382,0.72008,0.57631,0.38846,0.81176,0.000218,0.000218,0.000218
47,163.694,0.44202,0.26477,0.78698,0.83204,0.82824,0.88176,0.7157,0.57618,0.39145,0.81026,0.0001784,0.0001784,0.0001784
48,166.337,0.44375,0.26266,0.78633,0.83255,0.83125,0.88611,0.72298,0.57272,0.38954,0.81076,0.0001388,0.0001388,0.0001388
49,168.991,0.43826,0.26375,0.78659,0.83253,0.83116,0.88534,0.72339,0.56217,0.38175,0.80951,9.92e-05,9.92e-05,9.92e-05
50,171.795,0.44066,0.25816,0.78644,0.81969,0.85174,0.89186,0.72387,0.56526,0.3786,0.80995,5.96e-05,5.96e-05,5.96e-05
