epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,89.0692,1.33084,2.33288,0.98316,0.14904,0.62776,0.11569,0.07683,0.98973,4.33534,0.89317,6e-05,6e-05,6e-05
2,172.309,1.32624,2.35249,0.97871,0.15041,0.62461,0.11321,0.07463,1.00293,4.40378,0.89703,0.000137228,0.000137228,0.000137228
3,258.131,0.98971,1.32668,0.89869,0.77448,0.64669,0.7394,0.46971,1.04763,1.89922,0.90767,0.000211288,0.000211288,0.000211288
4,406.995,0.70113,0.57174,0.83769,0.79601,0.82019,0.83733,0.57467,0.84216,1.14224,0.84161,0.00028218,0.00028218,0.00028218
5,523.403,0.63968,0.46815,0.82846,0.78061,0.86435,0.86326,0.63545,0.6899,1.09758,0.82736,0.000349904,0.000349904,0.000349904
6,645.197,0.5716,0.42622,0.81743,0.29136,0.66246,0.29629,0.22911,0.61805,2.97836,0.81514,0.00041446,0.00041446,0.00041446
7,755.978,0.55134,0.39475,0.81464,0.31687,0.83112,0.28516,0.20531,0.63109,4.72804,0.82128,0.000475848,0.000475848,0.000475848
8,839.609,0.52786,0.36545,0.80515,0.53612,0.74763,0.549,0.42408,0.58449,1.8586,0.81494,0.000534068,0.000534068,0.000534068
9,940.902,0.53542,0.35251,0.80449,0.36266,0.64353,0.52134,0.39555,0.66311,2.66322,0.82015,0.00058912,0.00058912,0.00058912
10,1048.68,0.51955,0.33928,0.80917,0.16307,0.60568,0.16151,0.12131,0.6903,3.77264,0.82149,0.000641004,0.000641004,0.000641004
11,1131.84,0.54183,0.33943,0.80614,0.16862,0.59621,0.17314,0.12511,0.66026,3.43903,0.81691,0.00068972,0.00068972,0.00068972
12,1222.57,0.52566,0.3266,0.80198,0.76371,0.65615,0.7021,0.51176,0.63587,1.84523,0.81785,0.000735268,0.000735268,0.000735268
13,1409.23,0.5206,0.32252,0.80226,0.82814,0.74485,0.792,0.57579,0.59261,1.31127,0.80919,0.000777648,0.000777648,0.000777648
14,1550.15,0.4943,0.31436,0.80023,0.8239,0.83596,0.84588,0.6291,0.6051,0.96254,0.81937,0.00081686,0.00081686,0.00081686
15,1796.37,0.4889,0.3072,0.80035,0.80879,0.88066,0.86017,0.63538,0.5906,0.7627,0.81106,0.000852904,0.000852904,0.000852904
16,1928.24,0.48973,0.32147,0.80179,0.81202,0.8994,0.87799,0.63885,0.63956,0.70097,0.81757,0.00088578,0.00088578,0.00088578
17,2002.52,0.47323,0.31043,0.79891,0.83254,0.92114,0.90393,0.6674,0.63406,0.63926,0.81744,0.000915488,0.000915488,0.000915488
18,2075.26,0.47556,0.30253,0.79796,0.82152,0.91798,0.8923,0.689,0.58551,0.55028,0.81128,0.000942028,0.000942028,0.000942028
19,2148.37,0.47379,0.30296,0.79791,0.8158,0.89414,0.88609,0.69319,0.56851,0.55938,0.8087,0.0009654,0.0009654,0.0009654
20,2221.27,0.50757,0.31658,0.802,0.81826,0.8959,0.88325,0.67078,0.58469,0.56712,0.80727,0.000985604,0.000985604,0.000985604
21,2292.25,0.49714,0.31067,0.79974,0.81553,0.90852,0.90755,0.69999,0.56747,0.50319,0.80514,0.00100264,0.00100264,0.00100264
22,2366.34,0.4929,0.3089,0.80287,0.82961,0.89274,0.90711,0.7054,0.55084,0.47579,0.80599,0.00101651,0.00101651,0.00101651
23,2437.07,0.47704,0.30822,0.79619,0.8144,0.82019,0.88167,0.71332,0.52681,0.47452,0.80527,0.00102721,0.00102721,0.00102721
24,2506.16,0.46428,0.297,0.79975,0.86349,0.76972,0.85983,0.69455,0.53785,0.523,0.80449,0.00103474,0.00103474,0.00103474
25,2581.85,0.46578,0.29625,0.80051,0.87544,0.78864,0.90008,0.7039,0.55305,0.47765,0.80469,0.0010391,0.0010391,0.0010391
26,2651.91,0.47116,0.29989,0.79754,0.80781,0.90221,0.91168,0.71034,0.57045,0.45116,0.80422,0.00101,0.00101,0.00101
27,2723.42,0.46291,0.28805,0.80103,0.80684,0.91483,0.90904,0.73708,0.50167,0.43625,0.8011,0.0009704,0.0009704,0.0009704
28,2792.96,0.46816,0.2802,0.79628,0.82364,0.85489,0.9127,0.73394,0.5121,0.45054,0.80205,0.0009308,0.0009308,0.0009308
29,2862.63,0.44949,0.27742,0.79337,0.90697,0.81073,0.91764,0.73025,0.53471,0.39427,0.80596,0.0008912,0.0008912,0.0008912
30,2934.08,0.45286,0.27574,0.79613,0.79031,0.90357,0.9082,0.72185,0.55783,0.41595,0.80465,0.0008516,0.0008516,0.0008516
31,3004.3,0.43632,0.26935,0.79362,0.8072,0.91128,0.90716,0.72874,0.54249,0.40502,0.80222,0.000812,0.000812,0.000812
32,3076.21,0.42743,0.26193,0.79287,0.8167,0.8612,0.90115,0.73332,0.50189,0.40283,0.80036,0.0007724,0.0007724,0.0007724
33,3165.18,0.40276,0.25352,0.78843,0.8097,0.9127,0.90959,0.75219,0.49449,0.37255,0.80366,0.0007328,0.0007328,0.0007328
34,3378.3,0.40376,0.25315,0.78759,0.78246,0.8959,0.8966,0.7347,0.51713,0.36703,0.80113,0.0006932,0.0006932,0.0006932
35,3532.1,0.41904,0.25853,0.79768,0.80213,0.90852,0.90656,0.74409,0.50251,0.37087,0.7955,0.0006536,0.0006536,0.0006536
36,3672.21,0.39104,0.24898,0.79128,0.80794,0.89905,0.91129,0.73729,0.52138,0.38411,0.80161,0.000614,0.000614,0.000614
37,3845.66,0.41044,0.24925,0.79116,0.79432,0.90852,0.91224,0.74028,0.51333,0.38772,0.80077,0.0005744,0.0005744,0.0005744
38,3962.14,0.4067,0.24992,0.78959,0.82268,0.90852,0.91918,0.76167,0.48733,0.38159,0.79607,0.0005348,0.0005348,0.0005348
39,4056.01,0.39531,0.24142,0.79013,0.8271,0.92054,0.92001,0.74947,0.48971,0.36236,0.79611,0.0004952,0.0004952,0.0004952
40,4169.35,0.37973,0.23697,0.78228,0.81782,0.92045,0.92196,0.76212,0.48778,0.35613,0.79601,0.0004556,0.0004556,0.0004556
41,4306.35,0.38101,0.24042,0.77495,0.83293,0.87697,0.90867,0.74367,0.48677,0.35469,0.79452,0.000416,0.000416,0.000416
42,4430.25,0.36047,0.22612,0.77461,0.82831,0.8979,0.92411,0.76644,0.47009,0.35622,0.79412,0.0003764,0.0003764,0.0003764
43,4559.19,0.36738,0.22604,0.77364,0.82194,0.8959,0.91381,0.74786,0.47825,0.37434,0.79544,0.0003368,0.0003368,0.0003368
44,4681.35,0.35832,0.22373,0.77694,0.83542,0.90536,0.92309,0.75398,0.50555,0.37469,0.79923,0.0002972,0.0002972,0.0002972
45,4802.23,0.35285,0.21967,0.77636,0.84157,0.90852,0.9208,0.75642,0.48045,0.34711,0.79714,0.0002576,0.0002576,0.0002576
46,4905.79,0.33959,0.21209,0.77199,0.83718,0.90831,0.92247,0.75578,0.49173,0.35342,0.79738,0.000218,0.000218,0.000218
47,4984.72,0.335,0.20899,0.77672,0.83095,0.91483,0.92249,0.75746,0.50118,0.35545,0.79816,0.0001784,0.0001784,0.0001784
48,5064.78,0.33472,0.20627,0.77645,0.82581,0.91167,0.91242,0.76359,0.47313,0.36049,0.79651,0.0001388,0.0001388,0.0001388
49,5185.36,0.32721,0.20409,0.77624,0.81764,0.91935,0.91896,0.76075,0.47035,0.3517,0.79608,9.92e-05,9.92e-05,9.92e-05
50,5289.5,0.32595,0.20008,0.77616,0.81898,0.91345,0.91444,0.75763,0.48087,0.35424,0.79718,5.96e-05,5.96e-05,5.96e-05
