epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,7.12464,0.84489,1.91109,1.14378,0.7156,0.96361,0.9415,0.75944,0.76604,1.80112,1.11203,0.000328571,0.000328571,0.000328571
2,13.2738,0.80933,0.9502,1.11464,0.87037,0.76651,0.86324,0.70205,0.80845,0.78088,1.20389,0.000648799,0.000648799,0.000648799
3,19.3073,0.85014,0.88404,1.14636,0.82538,0.81221,0.87838,0.69735,0.76225,1.07408,1.15099,0.000955827,0.000955827,0.000955827
4,24.9183,0.8149,0.79007,1.12873,0.77159,0.84641,0.88587,0.69281,0.78054,0.81844,1.16179,0.0009406,0.0009406,0.0009406
5,30.5014,0.82353,0.80655,1.13085,0.85194,0.88592,0.87609,0.69049,0.83969,0.79844,1.20738,0.0009208,0.0009208,0.0009208
6,36.024,0.81186,0.73767,1.10686,0.82147,0.86082,0.91053,0.73324,0.78718,0.67014,1.17721,0.000901,0.000901,0.000901
7,41.677,0.77072,0.67836,1.09839,0.87061,0.88883,0.94054,0.76446,0.75867,0.58197,1.1501,0.0008812,0.0008812,0.0008812
8,47.5748,0.7811,0.67273,1.10035,0.82583,0.83524,0.89777,0.7414,0.73893,0.76406,1.11618,0.0008614,0.0008614,0.0008614
9,53.3075,0.75509,0.65703,1.08356,0.91079,0.8758,0.97901,0.80493,0.75227,0.63243,1.13716,0.0008416,0.0008416,0.0008416
10,59.2309,0.74914,0.60482,1.08898,0.96223,0.93822,0.97573,0.79777,0.74422,0.43148,1.12896,0.0008218,0.0008218,0.0008218
11,64.9506,0.75939,0.59876,1.08803,0.91189,0.9108,0.9669,0.80791,0.7361,0.44987,1.11886,0.000802,0.000802,0.000802
12,69.6846,0.74698,0.56475,1.07669,0.94224,0.94166,0.97869,0.80608,0.72708,0.44605,1.10604,0.0007822,0.0007822,0.0007822
13,74.4253,0.75556,0.53958,1.08428,0.94728,0.95278,0.97847,0.81542,0.72152,0.42568,1.10645,0.0007624,0.0007624,0.0007624
14,79.1744,0.73644,0.54191,1.07443,0.89525,0.96631,0.98234,0.80762,0.7491,0.44916,1.13755,0.0007426,0.0007426,0.0007426
15,83.8922,0.74054,0.53182,1.07638,0.96178,0.96553,0.97991,0.81829,0.71061,0.38322,1.09304,0.0007228,0.0007228,0.0007228
16,88.7692,0.74387,0.53142,1.07461,0.97324,0.9703,0.98613,0.82077,0.74237,0.36837,1.12411,0.000703,0.000703,0.000703
17,93.5838,0.73204,0.50971,1.06562,0.9727,0.97772,0.98733,0.83007,0.70589,0.36222,1.08384,0.0006832,0.0006832,0.0006832
18,98.4096,0.7406,0.50948,1.07073,0.94661,0.89662,0.97751,0.79787,0.74878,0.48326,1.11986,0.0006634,0.0006634,0.0006634
19,103.15,0.72374,0.50759,1.06292,0.98117,0.979,0.99372,0.83553,0.73215,0.32832,1.11535,0.0006436,0.0006436,0.0006436
20,107.926,0.70281,0.47319,1.05686,0.98243,0.96798,0.98842,0.8232,0.73038,0.35153,1.11551,0.0006238,0.0006238,0.0006238
21,112.743,0.71632,0.49054,1.06934,0.95676,0.97755,0.97998,0.80683,0.76106,0.38129,1.1437,0.000604,0.000604,0.000604
22,117.509,0.70386,0.46693,1.0626,0.95409,0.94029,0.97826,0.82088,0.72469,0.42221,1.1039,0.0005842,0.0005842,0.0005842
23,122.331,0.69969,0.47927,1.05668,0.98074,0.96882,0.98822,0.8314,0.71635,0.31948,1.10586,0.0005644,0.0005644,0.0005644
24,127.076,0.69787,0.46034,1.06038,0.97945,0.96869,0.98498,0.8202,0.7441,0.34999,1.12088,0.0005446,0.0005446,0.0005446
25,131.881,0.70121,0.45919,1.05845,0.94017,0.94926,0.97559,0.81051,0.74712,0.3961,1.1247,0.0005248,0.0005248,0.0005248
26,136.647,0.69382,0.45341,1.05766,0.9856,0.95651,0.9912,0.82173,0.73187,0.33891,1.12771,0.000505,0.000505,0.000505
27,141.471,0.69919,0.43852,1.05797,0.91513,0.91816,0.92858,0.77589,0.71565,0.5976,1.09512,0.0004852,0.0004852,0.0004852
28,146.362,0.6931,0.44412,1.05835,0.98155,0.97145,0.99063,0.83,0.71405,0.32037,1.10769,0.0004654,0.0004654,0.0004654
29,151.221,0.69043,0.4374,1.05143,0.92394,0.9027,0.94016,0.79244,0.7294,0.56869,1.11491,0.0004456,0.0004456,0.0004456
30,156.019,0.68245,0.4257,1.04479,0.95944,0.96836,0.97694,0.81904,0.72406,0.33547,1.11439,0.0004258,0.0004258,0.0004258
31,160.772,0.69695,0.42587,1.05306,0.94642,0.93945,0.98731,0.82663,0.71088,0.38819,1.10143,0.000406,0.000406,0.000406
32,165.537,0.67522,0.40026,1.03591,0.98393,0.96571,0.99149,0.83117,0.70518,0.33126,1.09761,0.0003862,0.0003862,0.0003862
33,170.371,0.67925,0.42329,1.05394,0.98016,0.98523,0.98269,0.82515,0.70893,0.31121,1.09737,0.0003664,0.0003664,0.0003664
34,175.148,0.64578,0.38512,1.02485,0.96752,0.97253,0.98434,0.8295,0.70528,0.3137,1.09596,0.0003466,0.0003466,0.0003466
35,179.948,0.66612,0.40415,1.03746,0.98527,0.97719,0.98267,0.82745,0.71616,0.30166,1.11105,0.0003268,0.0003268,0.0003268
36,184.727,0.64991,0.38317,1.03314,0.96127,0.98008,0.98542,0.8233,0.74066,0.33429,1.12645,0.000307,0.000307,0.000307
37,189.636,0.65771,0.39522,1.03352,0.98388,0.97881,0.98541,0.83152,0.70727,0.2902,1.09736,0.0002872,0.0002872,0.0002872
38,194.55,0.65048,0.37646,1.03497,0.98123,0.96821,0.98745,0.83115,0.72984,0.31241,1.11081,0.0002674,0.0002674,0.0002674
39,199.411,0.65655,0.37942,1.0301,0.98387,0.95707,0.98439,0.81718,0.75528,0.32815,1.13981,0.0002476,0.0002476,0.0002476
40,204.312,0.65326,0.37905,1.03629,0.97692,0.95805,0.98426,0.82383,0.728,0.32247,1.11019,0.0002278,0.0002278,0.0002278
41,230.719,0.5728,0.29117,1.0109,0.96623,0.95607,0.97506,0.80984,0.73724,0.35729,1.12189,0.000208,0.000208,0.000208
42,235.714,0.5664,0.28915,1.01334,0.95715,0.96318,0.98196,0.82021,0.72632,0.33924,1.11668,0.0001882,0.0001882,0.0001882
43,240.649,0.57322,0.27101,1.00757,0.95634,0.95514,0.98435,0.82913,0.71286,0.33451,1.10485,0.0001684,0.0001684,0.0001684
44,245.656,0.5619,0.26568,1.0014,0.96537,0.95302,0.97866,0.82586,0.70365,0.33549,1.09294,0.0001486,0.0001486,0.0001486
45,250.581,0.55639,0.26496,1.0068,0.93838,0.97226,0.98098,0.82403,0.70909,0.35876,1.10285,0.0001288,0.0001288,0.0001288
46,255.505,0.55128,0.25867,0.99267,0.95807,0.98163,0.98267,0.82129,0.72687,0.30374,1.1198,0.000109,0.000109,0.000109
47,260.418,0.54824,0.25397,0.99497,0.95382,0.98283,0.98653,0.8259,0.72179,0.29633,1.1143,8.92e-05,8.92e-05,8.92e-05
48,265.289,0.54343,0.2521,0.98888,0.95386,0.95579,0.98385,0.82134,0.72873,0.32942,1.11348,6.94e-05,6.94e-05,6.94e-05
49,270.166,0.53847,0.24026,0.98585,0.97042,0.97426,0.98619,0.82652,0.71998,0.29852,1.11118,4.96e-05,4.96e-05,4.96e-05
50,275.109,0.53538,0.23725,0.99814,0.97025,0.9737,0.98648,0.82598,0.72691,0.30149,1.11536,2.98e-05,2.98e-05,2.98e-05
